id,name,minimum_level,maximum_level,fecundity,pallu_refresh_type,night_only,refresh_area,pallu_refresh_type.1,night_only.1,refresh_area.1
78,Verita,18,38,1050,Creeps,no,game reserve,Secret Domain BOSS,no,forest
79,silk moth,36,45,450,Creeps,no,Snow,Random dungeon boss,no,dungeon
80,Faerie Dragon,18,45,540,Creeps,no,game reserve,Random dungeon boss,no,dungeon
81,Huo Linger,9,38,1270,Creeps,no,volcano,Random dungeon boss,no,dungeon
81,Shui Linger,9,19,1260,Creeps,no,grassland,Random dungeon boss,no,dungeon
82,Bihailong,17,22,500,Wild BOSS,no,grassland,Creeps,no,game reserve
83,Ice Thorn Beast,36,45,130,Creeps,no,Snow,Random dungeon boss,no,dungeon
84,Hell King,33,38,670,Creeps,yes,volcano,Random dungeon boss,no,dungeon
84,Hellfire King,34,38,710,Creeps,no,volcano,Random dungeon boss,no,dungeon
85,Pecorone,15,20,280,Creeps,no,grassland,n/a,no,n/a
85,Parker,31,31,270,Secret Domain BOSS,no,grassland,n/a,no,n/a
85,Pecorone,0,20,n/a,n/a,no,n/a,Creeps,no,grassland
85,Parker,0,31,n/a,n/a,no,n/a,Secret Domain BOSS,no,grassland
86,Allother,30,30,840,Wild BOSS,no,grassland,Wild BOSS,no,grassland
86,Lian Lilong,17,23,860,Creeps,no,grassland,Wild BOSS,no,grassland
87,Hualina,18,28,780,Creeps,no,game reserve,Secret Domain BOSS,no,forest
88,Frost Beast,42,45,230,Creeps,no,dungeon,Random dungeon boss,no,dungeon
88,Lava Beast,34,38,320,Creeps,no,volcano,Random dungeon boss,no,dungeon
89,King Melupa,23,45,470,Wild BOSS,no,grassland,Creeps,no,game reserve
89,Ice Emperor Melpa,46,46,440,Wild BOSS,no,Snow,Wild BOSS,no,Snow
90,snow mammoth,41,45,290,Creeps,no,Snow,Random dungeon boss,no,dungeon
90,Mammoth,30,40,300,Creeps,no,islands,Creeps,no,Snow
91,Green Moss Velvet,38,45,480,Wild BOSS,no,grassland,Random dungeon boss,no,dungeon
91,White Velvet Snow Monster,41,45,460,Creeps,no,Snow,Creeps,no,game reserve
92,Kaigres,30,45,340,Secret Domain BOSS,no,forest,Creeps,no,game reserve
93,Cloud sea deer,15,45,980,Wild BOSS,no,grassland,Creeps,no,game reserve
94,Night Mephit,20,31,1010,Creeps,no,dungeon,Wild BOSS,no,grassland
95,Tianyulong,23,45,350,Secret Domain BOSS,no,grassland,Random dungeon boss,no,dungeon
96,Flame Glory,40,49,10,Creeps,no,game reserve,Wild BOSS,no,volcano
97,Thunderbird,24,28,190,Creeps,yes,forest,Creeps,yes,forest
98,Demon Dragon,40,48,150,Creeps,no,game reserve,Wild BOSS,no,volcano
99,Dark Armored Scorpion,40,45,260,Creeps,no,game reserve,Creeps,no,game reserve
100,Anubis,47,47,570,Wild BOSS,no,grassland,Wild BOSS,no,grassland
101,Sea-covering dragon,45,45,310,Wild BOSS,no,grassland,Wild BOSS,no,grassland
101,Teng Yanlong,40,45,315,Creeps,no,game reserve,Creeps,no,game reserve
102,Qingque,42,45,30,Random dungeon boss,no,dungeon,Random dungeon boss,no,dungeon
102,Suzaku,40,45,50,Creeps,no,desert,Wild BOSS,no,desert
103,Lightning Bear,18,22,200,Creeps,no,game reserve,Creeps,no,game reserve
104,lily queen,40,45,250,Creeps,no,game reserve,Creeps,no,game reserve
104,black moon queen,49,49,210,Wild BOSS,no,Snow,Wild BOSS,no,Snow
105,Horus,40,45,370,Creeps,no,game reserve,Creeps,no,game reserve
106,Pollux,40,45,140,Creeps,no,game reserve,Creeps,no,game reserve
107,Heterogeneous Griffin,40,45,60,Creeps,no,game reserve,Creeps,no,game reserve
108,Knight of Light,50,50,80,Wild BOSS,no,desert,Wild BOSS,no,desert
109,Chaos Knight,50,50,70,Wild BOSS,no,desert,Wild BOSS,no,desert
110,Winter Caller,50,50,120,Wild BOSS,no,Snow,Wild BOSS,no,Snow
111,Vortex Dragon,50,50,90,Wild BOSS,no,volcano,Wild BOSS,no,volcano
