id,english_name,chinese_name,volume_size,food_intake,night_shift,total_skills,make_a_fire,watering,planting,generate_electricity,manual,collection,logging,mining,pharmaceutical,cool_down,pasture,carry,handling_speed,ranch_items,pasture_minimum_output,the_largest_ranch
31,Gobfin,Sharkboy,Small,3,no,4,0,2,0,0,1,0,0,0,0,0,0,1,120,n/a,n/a,n/a
32,Hangyu Crystal,Icebound Spirit,smallest,2,no,5,0,0,0,0,1,1,0,0,0,1,0,2,250,n/a,n/a,n/a
32,Hangyu,Hanging spirit,smallest,2,no,4,0,0,0,0,1,1,0,0,0,0,0,2,250,n/a,n/a,n/a
33,Mossanda,Ye Panda,big,5,no,9,0,0,2,0,2,0,2,0,0,0,0,3,275,n/a,n/a,n/a
33,Mossanda Lux,Lei Panda,big,5,no,9,0,0,0,2,2,0,2,0,0,0,0,3,275,n/a,n/a,n/a
34,Woolipop,Marshmallow,Small,2,no,1,0,0,0,0,0,0,0,0,0,0,1,0,n/a,Marshmallow,1,Rank
35,Caprity,bush sheep,Small,4,no,3,0,0,2,0,0,0,0,0,0,0,1,0,n/a,red wild berries,1,Rank
36,Melpaca,Melupa,medium,3,no,1,0,0,0,0,0,0,0,0,0,0,1,0,n/a,wool,2,1+Rank
37,Eikthyrdeer,Zixia Deer,big,5,no,2,0,0,0,0,0,0,2,0,0,0,0,0,n/a,n/a,n/a,n/a
37,Eikthyrdeer Terra,Only a deer,big,5,no,2,0,0,0,0,0,0,2,0,0,0,0,0,n/a,n/a,n/a,n/a
38,Nitewing,Swift Falcon,big,7,no,2,0,0,0,0,0,2,0,0,0,0,0,0,n/a,n/a,n/a,n/a
39,Ribunny,Ji Xiaotu,smallest,2,no,3,0,0,0,0,1,1,0,0,0,0,0,1,172,n/a,n/a,n/a
40,Incineram,Balrog Sheep,medium,4,yes,6,1,0,0,0,2,0,0,1,0,0,0,2,320,n/a,n/a,n/a
40,Incineram Noct,Dark Demon Sheep,medium,4,yes,5,0,0,0,0,2,0,0,1,0,0,0,2,320,n/a,n/a,n/a
41,Cinnamoth,Huan Yue Butterfly,medium,3,no,3,0,0,2,0,0,0,0,0,1,0,0,0,n/a,n/a,n/a,n/a
42,Arsox,Blazing Ox,medium,5,no,3,2,0,0,0,0,0,1,0,0,0,0,0,n/a,n/a,n/a,n/a
43,Dumud,Pa Pa Pa Catfish,medium,4,no,4,0,1,0,0,0,0,0,2,0,0,0,1,300,n/a,n/a,n/a
44,Cawgnito,Black Crow Hermit,medium,5,yes,1,0,0,0,0,0,0,1,0,0,0,0,0,n/a,n/a,n/a,n/a
45,Leezpunk Ignis,Hot-blooded lizard,Small,3,no,4,1,0,0,0,1,1,0,0,0,0,0,1,270,n/a,n/a,n/a
45,Leezpunk,punk lizard,Small,3,yes,3,0,0,0,0,1,1,0,0,0,0,0,1,270,n/a,n/a,n/a
46,Loupmoon,Moonscythe Demon,medium,5,yes,2,0,0,0,0,2,0,0,0,0,0,0,0,n/a,n/a,n/a,n/a
47,Galeclaw,Tianqinniao,medium,4,no,2,0,0,0,0,0,2,0,0,0,0,0,0,n/a,n/a,n/a,n/a
48,Robinquill,Feather Archer,medium,3,no,9,0,0,1,0,2,2,1,0,1,0,0,2,400,n/a,n/a,n/a
48,Robinquill Terra,mountain shooter,medium,3,no,8,0,0,0,0,2,2,1,0,1,0,0,2,400,n/a,n/a,n/a
49,Gorirat,Iron Fist Ape,Small,3,no,6,0,0,0,0,1,0,2,0,0,0,0,3,250,n/a,n/a,n/a
50,Beegarde,knight bee,medium,3,no,8,0,0,1,0,1,1,1,0,1,0,1,2,350,Honey,1,Rank
51,Elizabee,queen bee,big,7,no,9,0,0,2,0,2,2,1,0,2,0,0,0,n/a,n/a,n/a,n/a
52,Grintale,Laughing Nightmare Cat,big,4,no,2,0,0,0,0,0,2,0,0,0,0,0,0,n/a,n/a,n/a,n/a
53,Swee,Mao duster,smallest,2,no,2,0,0,0,0,0,1,0,0,0,1,0,0,n/a,n/a,n/a,n/a
54,Sweepa,Dad Mao,big,3,no,4,0,0,0,0,0,2,0,0,0,2,0,0,n/a,n/a,n/a,n/a
55,Chillet,Whirling Weasel,medium,3,no,2,0,0,0,0,0,1,0,0,0,1,0,0,n/a,n/a,n/a,n/a
56,Univolt,thunder wildebeest,medium,5,no,3,0,0,0,2,0,0,1,0,0,0,0,0,n/a,n/a,n/a,n/a
57,Foxcicle,blowing snow fox,Small,3,no,2,0,0,0,0,0,0,0,0,0,2,0,0,n/a,n/a,n/a,n/a
58,Pyrin,fire unicorn,big,5,no,3,2,0,0,0,0,0,1,0,0,0,0,0,n/a,n/a,n/a,n/a
58,Pyrin Noct,evil unicorn,big,5,yes,3,2,0,0,0,0,0,1,0,0,0,0,0,n/a,n/a,n/a,n/a
59,Reindrix,Deer in severe winter,medium,7,no,4,0,0,0,0,0,0,2,0,0,2,0,0,n/a,n/a,n/a,n/a
60,Rayhound,thunder dog,medium,5,no,2,0,0,0,2,0,0,0,0,0,0,0,0,n/a,n/a,n/a,n/a
61,Kitsun,Blue Flame Wolf,medium,4,no,2,2,0,0,0,0,0,0,0,0,0,0,0,n/a,n/a,n/a,n/a
62,Dazzi,Thunder Boy,smallest,2,no,3,0,0,0,1,1,0,0,0,0,0,0,1,300,n/a,n/a,n/a
63,Lunaris,Mystia,medium,2,no,5,0,0,0,0,3,1,0,0,0,0,0,1,315,n/a,n/a,n/a
64,Dinossom,Corolla dragon,big,6,no,5,0,0,2,0,0,0,3,0,0,0,0,0,n/a,n/a,n/a,n/a
64,Dinossom Lux,Thunder Guanlong,big,6,no,4,0,0,0,2,0,0,2,0,0,0,0,0,n/a,n/a,n/a,n/a
65,Surfent,water-sliding snake,medium,5,no,2,0,2,0,0,0,0,0,0,0,0,0,0,n/a,n/a,n/a,n/a
65,Surfent Terra,quicksand snake,medium,5,no,1,0,0,0,0,0,1,0,0,0,0,0,0,n/a,n/a,n/a,n/a
66,Maraith,Soul Eater,medium,3,yes,3,0,0,0,0,0,2,0,1,0,0,0,0,n/a,n/a,n/a,n/a
67,Digtoise,Rock Crusher Turtle,medium,5,no,3,0,0,0,0,0,0,0,3,0,0,0,0,n/a,n/a,n/a,n/a
68,Tombat,cat bat monster,medium,5,yes,6,0,0,0,0,0,2,0,2,0,0,0,2,270,n/a,n/a,n/a
69,Lovander,fraternity lizard,big,5,yes,7,0,0,0,0,2,0,0,1,2,0,0,2,460,n/a,n/a,n/a
70,Flambelle,Rong Yan Niang,smallest,2,no,4,1,0,0,0,1,0,0,0,0,0,1,1,140,fire breathing organ,1,Rank
71,Vanwyrm,Fenggelong,big,6,yes,4,1,0,0,0,0,0,0,0,0,0,0,3,475,n/a,n/a,n/a
71,Vanwyrm Cryst,Frost Song Dragon,big,6,yes,5,0,0,0,0,0,0,0,0,0,2,0,3,475,n/a,n/a,n/a
72,Bushi,Wave Blade Samurai,medium,4,no,9,2,0,0,0,1,1,3,0,0,0,0,2,320,n/a,n/a,n/a
73,Beakon,Thunderbird,big,7,no,6,0,0,0,2,0,1,0,0,0,0,0,3,375,n/a,n/a,n/a
74,Ragnahawk,Flamingo,big,7,no,6,3,0,0,0,0,0,0,0,0,0,0,3,375,n/a,n/a,n/a
75,Katress,dark witch cat,medium,5,yes,6,0,0,0,0,2,0,0,0,2,0,0,2,292,n/a,n/a,n/a
76,Wixen,Flame Witch Fox,medium,5,no,7,2,0,0,0,3,0,0,0,0,0,0,2,292,n/a,n/a,n/a
77,Verdash,spring rabbit,medium,3,no,12,0,0,2,0,3,3,2,0,0,0,0,2,275,n/a,n/a,n/a
78,Vaelet,Verita,medium,3,no,10,0,0,2,0,2,2,0,0,3,0,0,1,275,n/a,n/a,n/a
79,Sibelyx,silk moth,big,5,no,5,0,0,0,0,0,0,0,0,2,2,1,0,n/a,high quality cloth,1,Rank
80,Elphidran,Faerie Dragon,big,6,no,2,0,0,0,0,0,0,2,0,0,0,0,0,n/a,n/a,n/a,n/a
80,Elphidran Aqua,Water Spirit Dragon,big,6,no,5,0,3,0,0,0,0,2,0,0,0,0,0,n/a,n/a,n/a,n/a
81,Kelpsea Ignis,Huo Linger,smallest,1,no,1,1,0,0,0,0,0,0,0,0,0,0,0,n/a,n/a,n/a,n/a
81,Kelpsea,Shui Linger,smallest,1,no,1,0,1,0,0,0,0,0,0,0,0,0,0,n/a,n/a,n/a,n/a
82,Azurobe,Bihailong,big,6,no,3,0,3,0,0,0,0,0,0,0,0,0,0,n/a,n/a,n/a,n/a
83,Cryolinx,Ice Thorn Beast,big,7,no,6,0,0,0,0,1,0,2,0,0,3,0,0,n/a,n/a,n/a,n/a
84,Blazehowl,Hellfire King,big,7,no,5,3,0,0,0,0,0,2,0,0,0,0,0,n/a,n/a,n/a,n/a
84,Blazehowl Noct,Hell King,big,7,yes,5,3,0,0,0,0,0,2,0,0,0,0,0,n/a,n/a,n/a,n/a
85,Relaxaurus,Pecorone,maximum,7,no,3,0,2,0,0,0,0,0,0,0,0,0,1,150,n/a,n/a,n/a
85,Relaxaurus Lux,Parker,maximum,7,no,4,0,0,0,3,0,0,0,0,0,0,0,1,150,n/a,n/a,n/a
86,Broncherry,Lian Lilong,maximum,7,no,3,0,0,3,0,0,0,0,0,0,0,0,0,n/a,n/a,n/a,n/a
86,Broncherry Aqua,Allother,maximum,7,no,3,0,3,0,0,0,0,0,0,0,0,0,0,n/a,n/a,n/a,n/a
87,Petallia,Hualina,medium,3,no,10,0,0,3,0,2,2,0,0,2,0,0,1,350,n/a,n/a,n/a
88,Reptyro,Lava Beast,big,5,no,6,3,0,0,0,0,0,0,3,0,0,0,0,n/a,n/a,n/a,n/a
88,Ice Reptyro,Frost Beast,big,5,no,6,0,0,0,0,0,0,0,3,0,3,0,0,n/a,n/a,n/a,n/a
89,Kingpaca,King Melupa,maximum,7,no,1,0,0,0,0,0,1,0,0,0,0,0,0,n/a,n/a,n/a,n/a
89,Ice Kingpaca,Ice Emperor Melpa,maximum,7,no,4,0,0,0,0,0,1,0,0,0,3,0,0,n/a,n/a,n/a,n/a
90,Mammorest,Mammoth,maximum,8,no,6,0,0,2,0,0,0,2,2,0,0,0,0,n/a,n/a,n/a,n/a
90,Mammorest Cryst,snow mammoth,maximum,8,no,6,0,0,0,0,0,0,2,2,0,2,0,0,n/a,n/a,n/a,n/a
91,Wumpo Botan,Green Moss Velvet,big,8,no,10,0,0,1,0,2,0,3,0,0,0,0,4,150,n/a,n/a,n/a
91,Wumpo,White Velvet Snow Monster,big,8,no,11,0,0,0,0,2,0,3,0,0,2,0,4,150,n/a,n/a,n/a
92,Warsect,Kaigres,big,6,no,8,0,0,1,0,1,0,3,0,0,0,0,3,110,n/a,n/a,n/a
93,Fenglope,Cloud sea deer,Small,6,no,2,0,0,0,0,0,0,2,0,0,0,0,0,n/a,n/a,n/a,n/a
94,Felbat,Night Mephit,medium,5,yes,3,0,0,0,0,0,0,0,0,3,0,0,0,n/a,n/a,n/a,n/a
95,Quivern,Tianyulong,big,4,no,8,0,0,0,0,1,2,0,2,0,0,0,3,470,n/a,n/a,n/a
96,Blazamut,Flame Glory,maximum,9,no,7,3,0,0,0,0,0,0,4,0,0,0,0,n/a,n/a,n/a,n/a
97,Helzephyr,Thunderbird,big,8,yes,3,0,0,0,0,0,0,0,0,0,0,0,3,450,n/a,n/a,n/a
98,Astegon,Demon Dragon,maximum,9,yes,5,0,0,0,0,1,0,0,4,0,0,0,0,n/a,n/a,n/a,n/a
99,Menasting,Dark Armored Scorpion,big,7,yes,5,0,0,0,0,0,0,2,3,0,0,0,0,n/a,n/a,n/a,n/a
100,Anubis,Anubis,medium,6,no,9,0,0,0,0,4,0,0,3,0,0,0,2,480,n/a,n/a,n/a
101,Jormuntide Ignis,Teng Yanlong,maximum,7,no,4,4,0,0,0,0,0,0,0,0,0,0,0,n/a,n/a,n/a,n/a
101,Jormuntide,Sea-covering dragon,maximum,7,no,4,0,4,0,0,0,0,0,0,0,0,0,0,n/a,n/a,n/a,n/a
102,Suzaku,Suzaku,maximum,8,no,3,3,0,0,0,0,0,0,0,0,0,0,0,n/a,n/a,n/a,n/a
102,Suzaku Aqua,Qingque,maximum,8,no,3,0,3,0,0,0,0,0,0,0,0,0,0,n/a,n/a,n/a,n/a
103,Grizzbolt,Lightning Bear,big,7,no,10,0,0,0,3,2,0,2,0,0,0,0,3,210,n/a,n/a,n/a
104,Lyleen,lily queen,big,6,no,12,0,0,4,0,3,2,0,0,3,0,0,0,n/a,n/a,n/a,n/a
104,Lyleen Noct,black moon queen,big,6,no,8,0,0,0,0,3,2,0,0,3,0,0,0,n/a,n/a,n/a,n/a
105,Faleris,Horus,big,8,no,6,3,0,0,0,0,0,0,0,0,0,0,3,500,n/a,n/a,n/a
106,Orserk,Pollux,big,7,no,9,0,0,0,4,2,0,0,0,0,0,0,3,250,n/a,n/a,n/a
107,Shadowbeak,Heterogeneous Griffin,big,8,yes,1,0,0,0,0,0,1,0,0,0,0,0,0,n/a,n/a,n/a,n/a
108,Paladius,Knight of Light,big,9,no,4,0,0,0,0,0,0,2,2,0,0,0,0,n/a,n/a,n/a,n/a
109,Necromus,Chaos Knight,big,9,yes,4,0,0,0,0,0,0,2,2,0,0,0,0,n/a,n/a,n/a,n/a
110,Frostallion,Winter Caller,big,7,no,4,0,0,0,0,0,0,0,0,0,4,0,0,n/a,n/a,n/a,n/a
110,Frostallion Noct,Night Caller,big,7,yes,4,0,0,0,0,0,4,0,0,0,0,0,0,n/a,n/a,n/a,n/a
111,Jetragon,Vortex Dragon,maximum,9,no,3,0,0,0,0,0,3,0,0,0,0,0,0,n/a,n/a,n/a,n/a
