ID,name,minimum level,maximum level,fecundity,Pallu refresh type,Night only,refresh area,Pallu refresh type,Night only,refresh area
103,Lightning Bear,18,22,200,Creeps,,game reserve,Creeps,,game reserve
104,lily queen,40,45,250,Creeps,,game reserve,Creeps,,game reserve
104,black moon queen,49,49,210,Wild BOSS,,Snow,Wild BOSS,,Snow
105,Horus,40,45,370,Creeps,,game reserve,Creeps,,game reserve
106,Pollux,40,45,140,Creeps,,game reserve,Creeps,,game reserve
107,Heterogeneous Griffin,40,45,60,Creeps,,game reserve,Creeps,,game reserve
108,Knight of Light,50,50,80,Wild BOSS,,desert,Wild BOSS,,desert
109,Chaos Knight,50,50,70,Wild BOSS,,desert,Wild BOSS,,desert
110,Winter Caller,50,50,120,Wild BOSS,,Snow,Wild BOSS,,Snow
111,Vortex Dragon,50,50,90,Wild BOSS,,volcano,Wild BOSS,,volcano
